               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11227,             0.01517,            0.075988,           0.0090293,                 0.2,           0.0088393,           0.0019763,            0.073128,           0.0096138,            0.049545,              0.0982,              0.0002,              0.0002
                   1,             0.10779,            0.012231,            0.075464,            0.010949,               0.225,            0.010946,            0.002021,            0.070271,            0.010299,            0.049052,            0.095499,          0.00049901,          0.00049901
                   2,             0.10321,             0.01738,            0.075197,            0.011829,             0.27763,           0.0091853,           0.0019845,            0.065158,            0.011332,              0.0483,            0.092797,          0.00079683,          0.00079683
                   3,            0.096203,            0.019855,            0.071069,            0.014184,             0.40526,            0.011597,            0.002366,            0.057972,            0.012819,            0.047256,            0.090093,           0.0010935,           0.0010935
                   4,            0.086568,            0.022941,            0.066945,            0.019392,             0.58684,            0.020348,            0.003251,             0.05148,            0.014097,            0.045855,            0.087389,           0.0013889,           0.0013889
                   5,            0.081152,            0.020156,            0.063792,            0.018623,             0.74211,            0.022326,           0.0040272,            0.048144,            0.014657,            0.044824,            0.084683,           0.0016832,           0.0016832
                   6,            0.082286,            0.025699,            0.060505,            0.021247,                0.95,            0.032972,           0.0074919,            0.045359,             0.01503,            0.043235,            0.081976,           0.0019762,           0.0019762
                   7,            0.074915,            0.023523,            0.056466,            0.021089,               0.975,            0.046778,            0.011918,             0.04361,            0.015161,            0.041848,            0.079268,           0.0022681,           0.0022681
                   8,            0.075063,            0.024968,             0.05351,            0.016504,                   1,             0.13665,            0.043798,            0.041073,            0.015117,            0.038313,            0.076559,           0.0025588,           0.0025588
                   9,            0.071953,            0.026615,            0.050359,            0.014294,                   1,             0.26241,            0.081025,            0.039568,            0.015039,            0.035603,            0.073848,           0.0028483,           0.0028483
                  10,            0.067491,            0.028137,            0.046196,            0.011237,                   1,             0.12756,             0.04739,            0.043628,            0.013153,            0.030194,            0.071137,           0.0031366,           0.0031366
                  11,            0.071583,            0.025842,            0.043506,             0.25121,             0.41718,             0.30167,             0.09424,            0.039954,            0.013206,            0.027834,            0.068424,           0.0034238,           0.0034238
                  12,            0.065886,            0.022787,            0.038472,            0.075526,             0.58816,            0.093135,            0.022753,            0.047666,            0.011813,            0.025509,             0.06571,           0.0037097,           0.0037097
                  13,            0.070572,            0.020045,            0.038934,            0.075088,             0.58816,            0.091762,            0.022412,            0.047809,            0.011764,            0.025437,            0.062994,           0.0039945,           0.0039945
                  14,            0.066683,            0.024237,             0.03791,            0.084379,             0.82237,            0.095905,            0.028369,            0.049855,            0.010616,            0.025483,            0.060278,            0.004278,            0.004278
                  15,            0.067615,            0.020434,            0.036835,             0.15214,             0.72188,             0.25949,            0.082721,            0.043362,            0.010983,            0.024847,             0.05756,           0.0045604,           0.0045604
                  16,            0.068202,            0.019317,            0.034149,            0.078002,             0.67957,             0.10601,            0.029088,            0.055675,           0.0095937,            0.023433,            0.054842,           0.0048416,           0.0048416
                  17,            0.068724,            0.018696,            0.033849,            0.077841,             0.92105,             0.11355,            0.035701,            0.048096,            0.010357,            0.022062,            0.052122,           0.0051216,           0.0051216
                  18,            0.066865,            0.018317,            0.031322,              0.7782,               0.275,             0.34894,             0.11149,            0.048853,           0.0099063,              0.0214,              0.0494,           0.0054004,           0.0054004
                  19,            0.065069,            0.016304,            0.032618,             0.19665,             0.86842,             0.34537,            0.083246,            0.043689,            0.010115,            0.020726,            0.046678,            0.005678,            0.005678
                  20,            0.065774,            0.018521,            0.031615,              0.1002,             0.79079,             0.13443,            0.046937,            0.058523,           0.0092869,            0.020972,            0.043954,           0.0059545,           0.0059545
                  21,            0.073714,            0.015753,            0.028874,              0.2666,             0.68421,             0.50888,              0.1857,            0.044351,           0.0095201,            0.019753,             0.04123,           0.0062297,           0.0062297
                  22,            0.055498,            0.019197,            0.026984,             0.23215,             0.79211,             0.32232,             0.14465,            0.059116,           0.0091074,            0.019043,            0.038504,           0.0065038,           0.0065038
                  23,            0.081953,            0.014234,            0.028832,             0.37708,             0.95642,             0.67057,             0.29742,            0.041179,           0.0093296,            0.016579,            0.035777,           0.0067767,           0.0067767
                  24,            0.055158,            0.016765,            0.026408,              0.1493,             0.76842,             0.19059,             0.10785,            0.063996,            0.008863,            0.016728,            0.033048,           0.0070484,           0.0070484
                  25,             0.07439,            0.015854,            0.026347,             0.45656,             0.89605,             0.60027,             0.17715,            0.043639,           0.0091794,            0.014747,            0.030319,           0.0073188,           0.0073188
                  26,            0.061405,             0.01492,            0.025943,             0.22449,             0.76579,             0.32486,            0.075523,            0.055572,           0.0085514,            0.013189,            0.027588,           0.0075882,           0.0075882
                  27,             0.07413,            0.015083,            0.022186,             0.29995,             0.84342,             0.43526,             0.18249,            0.040905,           0.0088917,            0.011851,            0.024856,           0.0078563,           0.0078563
                  28,            0.061149,            0.016891,            0.024606,             0.29995,             0.84342,             0.43526,             0.18249,            0.040905,           0.0088917,            0.011851,            0.022123,           0.0081232,           0.0081232
                  29,            0.067611,            0.014496,            0.023497,             0.38978,             0.53026,             0.53274,             0.24386,            0.047458,           0.0083122,            0.011015,            0.019389,            0.008389,            0.008389
                  30,            0.066525,            0.014891,            0.024187,             0.43682,             0.76711,             0.55116,             0.24828,            0.039548,             0.00795,            0.010353,            0.016654,           0.0086535,           0.0086535
                  31,            0.060697,            0.015965,            0.024282,             0.23795,             0.84605,             0.49469,             0.24916,            0.046529,           0.0075198,           0.0098604,            0.013917,           0.0089169,           0.0089169
                  32,            0.066225,            0.016938,            0.021853,             0.23795,             0.84605,             0.49469,             0.24916,            0.046529,           0.0075198,           0.0098604,            0.011179,           0.0091791,           0.0091791
                  33,            0.058851,             0.01423,            0.019803,             0.53848,             0.85911,             0.62101,             0.19204,            0.042023,           0.0072859,           0.0095556,           0.0093466,           0.0093466,           0.0093466
